address
алл. Чайковского д 41 кв 144
бул. Ленина д 29 кв 467
ш. Заливное д 96 кв 116
ул. Дзержинского д 14 кв 15
пер. Краснофлотский д 54 кв 85
пр. Космодемьянской д 84 кв 83
пр. Малиновый д 6 кв 344
пр. Пушкинский д 71 кв 482
пер. Красноярский д 1 кв 132
бул. Цветочный д 57 кв 362
ш. Леваневского д 6 кв 341
ш. Микрорайон д 5 кв 204
пер. Серафимовича д 5 кв 387
бул. Мостовой д 95 кв 414
пр. Одесский д 62 кв 106
ул. Свердлова д 79 кв 242
наб. Алтайская д 71 кв 275
бул. Короленко д 43 кв 129
ул. Каштановая д 73 кв 320
наб. Мирная д 19 кв 452
бул. Космодемьянской д 34 кв 62
пер. Майский д 93 кв 30
пер. Майский д 67 кв 183
алл. Краснодарская д 98 кв 178
наб. Фабричная д 80 кв 428
пер. Минина д 92 кв 465
алл. Толбухина д 85 кв 466
ш. Маяковского д 100 кв 121
пр. Горняцкий д 99 кв 202
бул. Бажова д 18 кв 339
пер. Ленский д 90 кв 93
ш. К.Маркса д 72 кв 475
бул. Казачий д 30 кв 392
бул. Петровский д 82 кв 373
бул. Нахимова д 44 кв 269
ш. Зои Космодемьянской д 6 кв 321
пр. Снежный д 53 кв 196
бул. Попова д 33 кв 402
пр. Каштановый д 10 кв 427
наб. Сиреневая д 38 кв 74
