email,username,phone,scores,role
kirillovplaton@hotmail.com,polikarp_98,+76934060883,30,courier
belousovviktor@gmail.com,german_1988,+79353487401,90,client
shcherbakovvaleri@hotmail.com,ernest_40,+78161849593,12,client
grishinairina@yahoo.com,visheslavzinovev,+78196001338,30,client
veniamin_46@npo.org,sidor28,+74893252880,32,client
orehovaanzhelika@mail.ru,luka_1987,+75346247510,86,client
rgromov@mail.ru,afinogenzuev,+71080132677,71,client
nadezhda_1986@yahoo.com,natan1988,+73503056413,8,client
anike05@ooo.org,ustin2018,+78011280598,94,client
zikovizmail@velikolukski.com,gedeonkozlov,+73791769367,29,courier
nifontsuhanov@hotmail.com,merkushevklavdi,+78685014294,4,courier
evstafi_2018@rambler.ru,pankrat_1985,+79402654235,81,client
gedeonlapin@rosteh.edu,guljaevparamon,+72870831727,60,courier
kimkudrjashov@rao.org,kvoronova,+72980699016,21,manager
mark58@gmail.com,alekseevignati,+72316658760,72,courier
arefi_09@mail.ru,taras_1980,+78121913619,71,client
bogdanovaanastasija@yahoo.com,lihachevamos,+71834738299,81,client
csidorov@hotmail.com,andron_53,+71586923226,88,client
timursimonov@gk.org,nifont57,+77133150983,94,client
dnikonova@yahoo.com,yivanov,+77468723430,71,client
zinovevmarian@mail.ru,karljakovlev,+76073375433,73,courier
qkudrjavtsev@zao.edu,molchanovladimir,+74656482366,44,courier
nesterovaelizaveta@hotmail.com,krasilnikovigor,+76475255341,75,client
samolovavalerija@yahoo.com,vishnjakovpanfil,+71669784801,40,client
onufri80@hotmail.com,epifan69,+75777387214,15,courier
zahar_10@gmail.com,evstignedjachkov,+79232719374,5,manager
adam1977@oao.com,zhuravlevatatjana,+71718227824,74,client
elizaveta91@yandex.ru,konovalovasinklitikija,+75185067165,24,manager
dobromisl1973@hotmail.com,nlapin,+75564641708,84,manager
juli2018@krasilnikov.info,kononovsaveli,+74348734714,82,courier
bogdanovtimofe@zao.biz,bobilevinnokenti,+74278498084,0,client
sigizmundafanasev@psk.com,visheslav38,+74969653287,24,client
savvatikonstantinov@ao.info,panfil_67,+71065133387,44,client
xguljaev@yandex.ru,gordeevauljana,+77054668893,50,courier
koshelevernst@moskovski.edu,silinleonti,+79049663193,23,manager
